Year,Geographical Description,ONS Code,Measure Group,Measure Group Description,Measure_Value,Geographical Level,Disaggregation Level,Measure Type
2017-18,Knowsley,E08000011,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Lambeth,E09000022,1A,Social care-related quality of life score,18.3,Council,Total,Outcome
2017-18,Lancashire,E10000017,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Leeds,E08000035,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Leicester,E06000016,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Leicestershire,E10000018,1A,Social care-related quality of life score,18.4,Council,Total,Outcome
2017-18,Lewisham,E09000023,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Lincolnshire,E10000019,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Liverpool,E08000012,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,London,E12000007,1A,Social care-related quality of life score,18.5,Region,Total,Outcome
2017-18,Luton,E06000032,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Manchester,E08000003,1A,Social care-related quality of life score,18.3,Council,Total,Outcome
2017-18,Medway Towns,E06000035,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Merton,E09000024,1A,Social care-related quality of life score,18.3,Council,Total,Outcome
2017-18,Metropolitan Districts,,1A,Social care-related quality of life score,19.1,Council type,Total,Outcome
2017-18,Middlesbrough,E06000002,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Milton Keynes,E06000042,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Newcastle upon Tyne,E08000021,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Newham,E09000025,1A,Social care-related quality of life score,18.3,Council,Total,Outcome
2017-18,Norfolk,E10000020,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,North East,E12000001,1A,Social care-related quality of life score,19.4,Region,Total,Outcome
2017-18,North East Lincolnshire,E06000012,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,North Lincolnshire,E06000013,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,North Somerset,E06000024,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,North Tyneside,E08000022,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,North West,E12000002,1A,Social care-related quality of life score,19.2,Region,Total,Outcome
2017-18,North Yorkshire,E10000023,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Northamptonshire,E10000021,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Northumberland,E06000057,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Nottingham,E06000018,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Nottinghamshire,E10000024,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Oldham,E08000004,1A,Social care-related quality of life score,18.6,Council,Total,Outcome
2017-18,Outer London,,1A,Social care-related quality of life score,18.7,Council type,Total,Outcome
2017-18,Oxfordshire,E10000025,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Peterborough,E06000031,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Plymouth,E06000026,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Poole,E06000029,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Portsmouth,E06000044,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Reading,E06000038,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Redbridge,E09000026,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Redcar and Cleveland,E06000003,1A,Social care-related quality of life score,19.8,Council,Total,Outcome
2017-18,Richmond upon Thames,E09000027,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Rochdale,E08000005,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Rotherham,E08000018,1A,Social care-related quality of life score,18.9,Council,Total,Outcome
2017-18,Rutland,E06000017,1A,Social care-related quality of life score,20.1,Council,Total,Outcome
2017-18,Salford,E08000006,1A,Social care-related quality of life score,18.9,Council,Total,Outcome
2017-18,Sandwell,E08000028,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Sefton,E08000014,1A,Social care-related quality of life score,19.9,Council,Total,Outcome
2017-18,Sheffield,E08000019,1A,Social care-related quality of life score,18.4,Council,Total,Outcome
2017-18,Shire Counties,,1A,Social care-related quality of life score,19.3,Council type,Total,Outcome
2017-18,Shropshire,E06000051,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Slough,E06000039,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Solihull,E08000029,1A,Social care-related quality of life score,18.6,Council,Total,Outcome
2017-18,Somerset,E10000027,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,South East,E12000008,1A,Social care-related quality of life score,19.3,Region,Total,Outcome
2017-18,South Gloucestershire,E06000025,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,South Tyneside,E08000023,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,South West,E12000009,1A,Social care-related quality of life score,19.3,Region,Total,Outcome
2017-18,Southampton,E06000045,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Southend-on-Sea,E06000033,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Southwark,E09000028,1A,Social care-related quality of life score,18.2,Council,Total,Outcome
2017-18,St. Helens,E08000013,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Staffordshire,E10000028,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Stockport,E08000007,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Stockton-on-Tees,E06000004,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Stoke-on-Trent,E06000021,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Suffolk,E10000029,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Sunderland,E08000024,1A,Social care-related quality of life score,19.8,Council,Total,Outcome
2017-18,Surrey,E10000030,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Sutton,E09000029,1A,Social care-related quality of life score,18.6,Council,Total,Outcome
2017-18,Swindon,E06000030,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Tameside,E08000008,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Telford and the Wrekin,E06000020,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Thurrock,E06000034,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Torbay,E06000027,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Tower Hamlets,E09000030,1A,Social care-related quality of life score,18.5,Council,Total,Outcome
2017-18,Trafford,E08000009,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Unitary Authorities,,1A,Social care-related quality of life score,19.3,Council type,Total,Outcome
2017-18,Wakefield,E08000036,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Walsall,E08000030,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Waltham Forest,E09000031,1A,Social care-related quality of life score,18.2,Council,Total,Outcome
2017-18,Wandsworth,E09000032,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Warrington,E06000007,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Warwickshire,E10000031,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,West Berkshire,E06000037,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,West Midlands,E12000005,1A,Social care-related quality of life score,19.2,Region,Total,Outcome
2017-18,West Sussex,E10000032,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Westminster,E09000033,1A,Social care-related quality of life score,17.9,Council,Total,Outcome
2017-18,Wigan,E08000010,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Wiltshire,E06000054,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Windsor and Maidenhead,E06000040,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,Wirral,E08000015,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Wokingham,E06000041,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Wolverhampton,E08000031,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Worcestershire,E10000034,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,York,E06000014,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Yorkshire and the Humber,E12000003,1A,Social care-related quality of life score,19.2,Region,Total,Outcome
2017-18,Barking and Dagenham,E09000002,1B,The proportion of people who use services who have control over their daily life,79.6,Council,Total,Outcome
2017-18,Barnet,E09000003,1B,The proportion of people who use services who have control over their daily life,75.8,Council,Total,Outcome
2017-18,Barnsley,E08000016,1B,The proportion of people who use services who have control over their daily life,77.4,Council,Total,Outcome
2017-18,Bath and North East Somerset,E06000022,1B,The proportion of people who use services who have control over their daily life,84.7,Council,Total,Outcome
2017-18,Bedford,E06000055,1B,The proportion of people who use services who have control over their daily life,74.5,Council,Total,Outcome
2017-18,Bexley,E09000004,1B,The proportion of people who use services who have control over their daily life,75.4,Council,Total,Outcome
2017-18,Birmingham,E08000025,1B,The proportion of people who use services who have control over their daily life,78.3,Council,Total,Outcome
2017-18,Blackburn with Darwen,E06000008,1B,The proportion of people who use services who have control over their daily life,82.0,Council,Total,Outcome
2017-18,Blackpool,E06000009,1B,The proportion of people who use services who have control over their daily life,79.2,Council,Total,Outcome
2017-18,Bolton,E08000001,1B,The proportion of people who use services who have control over their daily life,74.7,Council,Total,Outcome
2017-18,Bournemouth,E06000028,1B,The proportion of people who use services who have control over their daily life,81.3,Council,Total,Outcome
2017-18,Bracknell Forest,E06000036,1B,The proportion of people who use services who have control over their daily life,74.5,Council,Total,Outcome
2017-18,Bradford,E08000032,1B,The proportion of people who use services who have control over their daily life,79.0,Council,Total,Outcome
2017-18,Brent,E09000005,1B,The proportion of people who use services who have control over their daily life,70.7,Council,Total,Outcome
2017-18,Brighton and Hove,E06000043,1B,The proportion of people who use services who have control over their daily life,79.9,Council,Total,Outcome
2017-18,Bristol,E06000023,1B,The proportion of people who use services who have control over their daily life,77.0,Council,Total,Outcome
2017-18,Bromley,E09000006,1B,The proportion of people who use services who have control over their daily life,75.9,Council,Total,Outcome
2017-18,Buckinghamshire,E10000002,1B,The proportion of people who use services who have control over their daily life,80.5,Council,Total,Outcome
2017-18,Bury,E08000002,1B,The proportion of people who use services who have control over their daily life,77.5,Council,Total,Outcome
2017-18,Calderdale,E08000033,1B,The proportion of people who use services who have control over their daily life,80.6,Council,Total,Outcome
2017-18,Cambridgeshire,E10000003,1B,The proportion of people who use services who have control over their daily life,81.2,Council,Total,Outcome
2017-18,Camden,E09000007,1B,The proportion of people who use services who have control over their daily life,76.1,Council,Total,Outcome
2017-18,Central Bedfordshire,E06000056,1B,The proportion of people who use services who have control over their daily life,80.1,Council,Total,Outcome
2017-18,Cheshire East,E06000049,1B,The proportion of people who use services who have control over their daily life,82.2,Council,Total,Outcome
2017-18,Cheshire West and Chester,E06000050,1B,The proportion of people who use services who have control over their daily life,81.1,Council,Total,Outcome
2017-18,Cornwall,E06000052,1B,The proportion of people who use services who have control over their daily life,81.8,Council,Total,Outcome
2017-18,Coventry,E08000026,1B,The proportion of people who use services who have control over their daily life,70.4,Council,Total,Outcome
2017-18,Croydon,E09000008,1B,The proportion of people who use services who have control over their daily life,71.2,Council,Total,Outcome
2017-18,Cumbria,E10000006,1B,The proportion of people who use services who have control over their daily life,81.6,Council,Total,Outcome
2017-18,Darlington,E06000005,1B,The proportion of people who use services who have control over their daily life,69.1,Council,Total,Outcome
2017-18,Derby,E06000015,1B,The proportion of people who use services who have control over their daily life,82.1,Council,Total,Outcome
2017-18,Derbyshire,E10000007,1B,The proportion of people who use services who have control over their daily life,76.1,Council,Total,Outcome
2017-18,Devon,E10000008,1B,The proportion of people who use services who have control over their daily life,75.7,Council,Total,Outcome
2017-18,Doncaster,E08000017,1B,The proportion of people who use services who have control over their daily life,81.7,Council,Total,Outcome
2017-18,Dorset,E10000009,1B,The proportion of people who use services who have control over their daily life,81.2,Council,Total,Outcome
2017-18,Dudley,E08000027,1B,The proportion of people who use services who have control over their daily life,75.8,Council,Total,Outcome
2017-18,Durham,E06000047,1B,The proportion of people who use services who have control over their daily life,80.3,Council,Total,Outcome
2017-18,Ealing,E09000009,1B,The proportion of people who use services who have control over their daily life,66.8,Council,Total,Outcome
2017-18,East Midlands,E12000004,1B,The proportion of people who use services who have control over their daily life,77.1,Region,Total,Outcome
2017-18,East Riding of Yorkshire,E06000011,1B,The proportion of people who use services who have control over their daily life,84.0,Council,Total,Outcome
2017-18,East Sussex,E10000011,1B,The proportion of people who use services who have control over their daily life,82.3,Council,Total,Outcome
2017-18,Eastern,E12000006,1B,The proportion of people who use services who have control over their daily life,78.4,Region,Total,Outcome
2017-18,Enfield,E09000010,1B,The proportion of people who use services who have control over their daily life,72.5,Council,Total,Outcome
2017-18,England,E92000001,1B,The proportion of people who use services who have control over their daily life,77.7,England,Total,Outcome
2017-18,Essex,E10000012,1B,The proportion of people who use services who have control over their daily life,77.4,Council,Total,Outcome
2017-18,Gateshead,E08000037,1B,The proportion of people who use services who have control over their daily life,80.1,Council,Total,Outcome
2017-18,Gloucestershire,E10000013,1B,The proportion of people who use services who have control over their daily life,77.5,Council,Total,Outcome
2017-18,Greenwich,E09000011,1B,The proportion of people who use services who have control over their daily life,75.3,Council,Total,Outcome
2017-18,Hackney,E09000012,1B,The proportion of people who use services who have control over their daily life,70.6,Council,Total,Outcome
2017-18,Halton,E06000006,1B,The proportion of people who use services who have control over their daily life,80.4,Council,Total,Outcome
2017-18,Hammersmith and Fulham,E09000013,1B,The proportion of people who use services who have control over their daily life,71.2,Council,Total,Outcome
2017-18,Hampshire,E10000014,1B,The proportion of people who use services who have control over their daily life,80.6,Council,Total,Outcome
2017-18,Haringey,E09000014,1B,The proportion of people who use services who have control over their daily life,77.5,Council,Total,Outcome
2017-18,Harrow,E09000015,1B,The proportion of people who use services who have control over their daily life,66.9,Council,Total,Outcome
2017-18,Hartlepool,E06000001,1B,The proportion of people who use services who have control over their daily life,85.2,Council,Total,Outcome
2017-18,Havering,E09000016,1B,The proportion of people who use services who have control over their daily life,77.2,Council,Total,Outcome
2017-18,Herefordshire,E06000019,1B,The proportion of people who use services who have control over their daily life,81.3,Council,Total,Outcome
2017-18,Hertfordshire,E10000015,1B,The proportion of people who use services who have control over their daily life,79.8,Council,Total,Outcome
2017-18,Hillingdon,E09000017,1B,The proportion of people who use services who have control over their daily life,74.6,Council,Total,Outcome
2017-18,Hounslow,E09000018,1B,The proportion of people who use services who have control over their daily life,74.4,Council,Total,Outcome
2017-18,Inner London,,1B,The proportion of people who use services who have control over their daily life,72.3,Council type,Total,Outcome
2017-18,Isle of Wight,E06000046,1B,The proportion of people who use services who have control over their daily life,82.5,Council,Total,Outcome
2017-18,Islington,E09000019,1B,The proportion of people who use services who have control over their daily life,71.9,Council,Total,Outcome
2017-18,Kensington and Chelsea,E09000020,1B,The proportion of people who use services who have control over their daily life,68.8,Council,Total,Outcome
2017-18,Kent,E10000016,1B,The proportion of people who use services who have control over their daily life,79.6,Council,Total,Outcome
2017-18,Kingston upon Hull,E06000010,1B,The proportion of people who use services who have control over their daily life,78.7,Council,Total,Outcome
2017-18,Kingston upon Thames,E09000021,1B,The proportion of people who use services who have control over their daily life,78.0,Council,Total,Outcome
2017-18,Kirklees,E08000034,1B,The proportion of people who use services who have control over their daily life,74.7,Council,Total,Outcome
2017-18,Knowsley,E08000011,1B,The proportion of people who use services who have control over their daily life,77.0,Council,Total,Outcome
2017-18,Lambeth,E09000022,1B,The proportion of people who use services who have control over their daily life,72.1,Council,Total,Outcome
2017-18,Lancashire,E10000017,1B,The proportion of people who use services who have control over their daily life,78.1,Council,Total,Outcome
2017-18,Leeds,E08000035,1B,The proportion of people who use services who have control over their daily life,79.3,Council,Total,Outcome
2017-18,Leicester,E06000016,1B,The proportion of people who use services who have control over their daily life,78.1,Council,Total,Outcome
2017-18,Leicestershire,E10000018,1B,The proportion of people who use services who have control over their daily life,74.6,Council,Total,Outcome
2017-18,Lewisham,E09000023,1B,The proportion of people who use services who have control over their daily life,74.3,Council,Total,Outcome
2017-18,Lincolnshire,E10000019,1B,The proportion of people who use services who have control over their daily life,78.3,Council,Total,Outcome
2017-18,Liverpool,E08000012,1B,The proportion of people who use services who have control over their daily life,70.8,Council,Total,Outcome
2017-18,London,E12000007,1B,The proportion of people who use services who have control over their daily life,73.2,Region,Total,Outcome
2017-18,Luton,E06000032,1B,The proportion of people who use services who have control over their daily life,73.2,Council,Total,Outcome
2017-18,Manchester,E08000003,1B,The proportion of people who use services who have control over their daily life,72.9,Council,Total,Outcome
2017-18,Medway Towns,E06000035,1B,The proportion of people who use services who have control over their daily life,77.7,Council,Total,Outcome
2017-18,Merton,E09000024,1B,The proportion of people who use services who have control over their daily life,68.1,Council,Total,Outcome
2017-18,Metropolitan Districts,,1B,The proportion of people who use services who have control over their daily life,77.1,Council type,Total,Outcome
2017-18,Middlesbrough,E06000002,1B,The proportion of people who use services who have control over their daily life,81.1,Council,Total,Outcome
2017-18,Milton Keynes,E06000042,1B,The proportion of people who use services who have control over their daily life,81.2,Council,Total,Outcome
2017-18,Newcastle upon Tyne,E08000021,1B,The proportion of people who use services who have control over their daily life,76.2,Council,Total,Outcome
2017-18,Newham,E09000025,1B,The proportion of people who use services who have control over their daily life,69.8,Council,Total,Outcome
2017-18,Norfolk,E10000020,1B,The proportion of people who use services who have control over their daily life,76.3,Council,Total,Outcome
2017-18,North East,E12000001,1B,The proportion of people who use services who have control over their daily life,80.0,Region,Total,Outcome
2017-18,North East Lincolnshire,E06000012,1B,The proportion of people who use services who have control over their daily life,72.4,Council,Total,Outcome
2017-18,North Lincolnshire,E06000013,1B,The proportion of people who use services who have control over their daily life,83.0,Council,Total,Outcome
2017-18,North Somerset,E06000024,1B,The proportion of people who use services who have control over their daily life,80.0,Council,Total,Outcome
2017-18,North Tyneside,E08000022,1B,The proportion of people who use services who have control over their daily life,77.8,Council,Total,Outcome
2017-18,North West,E12000002,1B,The proportion of people who use services who have control over their daily life,77.7,Region,Total,Outcome
2017-18,North Yorkshire,E10000023,1B,The proportion of people who use services who have control over their daily life,77.7,Council,Total,Outcome
2017-18,Northamptonshire,E10000021,1B,The proportion of people who use services who have control over their daily life,78.7,Council,Total,Outcome
2017-18,Northumberland,E06000057,1B,The proportion of people who use services who have control over their daily life,83.6,Council,Total,Outcome
2017-18,Nottingham,E06000018,1B,The proportion of people who use services who have control over their daily life,76.7,Council,Total,Outcome
2017-18,Nottinghamshire,E10000024,1B,The proportion of people who use services who have control over their daily life,75.5,Council,Total,Outcome
2017-18,Oldham,E08000004,1B,The proportion of people who use services who have control over their daily life,74.2,Council,Total,Outcome
2017-18,Outer London,,1B,The proportion of people who use services who have control over their daily life,73.9,Council type,Total,Outcome
2017-18,Oxfordshire,E10000025,1B,The proportion of people who use services who have control over their daily life,82.4,Council,Total,Outcome
2017-18,Peterborough,E06000031,1B,The proportion of people who use services who have control over their daily life,81.8,Council,Total,Outcome
2017-18,Plymouth,E06000026,1B,The proportion of people who use services who have control over their daily life,80.3,Council,Total,Outcome
2017-18,Poole,E06000029,1B,The proportion of people who use services who have control over their daily life,79.5,Council,Total,Outcome
2017-18,Portsmouth,E06000044,1B,The proportion of people who use services who have control over their daily life,80.3,Council,Total,Outcome
2017-18,Reading,E06000038,1B,The proportion of people who use services who have control over their daily life,78.0,Council,Total,Outcome
2017-18,Redbridge,E09000026,1B,The proportion of people who use services who have control over their daily life,85.1,Council,Total,Outcome
2017-18,Redcar and Cleveland,E06000003,1B,The proportion of people who use services who have control over their daily life,82.3,Council,Total,Outcome
2017-18,Richmond upon Thames,E09000027,1B,The proportion of people who use services who have control over their daily life,81.1,Council,Total,Outcome
2017-18,Rochdale,E08000005,1B,The proportion of people who use services who have control over their daily life,80.8,Council,Total,Outcome
2017-18,Rotherham,E08000018,1B,The proportion of people who use services who have control over their daily life,77.2,Council,Total,Outcome
2017-18,Rutland,E06000017,1B,The proportion of people who use services who have control over their daily life,84.1,Council,Total,Outcome
2017-18,Salford,E08000006,1B,The proportion of people who use services who have control over their daily life,77.8,Council,Total,Outcome
2017-18,Sandwell,E08000028,1B,The proportion of people who use services who have control over their daily life,79.1,Council,Total,Outcome
2017-18,Sefton,E08000014,1B,The proportion of people who use services who have control over their daily life,83.8,Council,Total,Outcome
2017-18,Sheffield,E08000019,1B,The proportion of people who use services who have control over their daily life,75.7,Council,Total,Outcome
2017-18,Shire Counties,,1B,The proportion of people who use services who have control over their daily life,78.5,Council type,Total,Outcome
2017-18,Shropshire,E06000051,1B,The proportion of people who use services who have control over their daily life,81.2,Council,Total,Outcome
2017-18,Slough,E06000039,1B,The proportion of people who use services who have control over their daily life,75.3,Council,Total,Outcome
2017-18,Solihull,E08000029,1B,The proportion of people who use services who have control over their daily life,75.0,Council,Total,Outcome
2017-18,Somerset,E10000027,1B,The proportion of people who use services who have control over their daily life,78.7,Council,Total,Outcome
